      timestamp  track  channel  event  note  midi_percentage    id  sustain
556       42999      0        0      1    80               68   556        1
557       42999      1        0      1    66               40   557        1
558       42999      1        0      1    71               40   558        1
559       43236      0        0      0    80                0   559        1
560       43249      0        0      1    81               68   560        1
561       43473      1        0      0    66                0   561        1
562       43473      1        0      0    71                0   562        1
563       43486      0        0      0    81                0   563        1
564       43499      0        0      1    76               68   564        1
565       43499      1        0      1    52               40   565        1
566       43501      1        0      3    64                0   566        0
567       43502      1        0      3    64              127   567        0
568       43565      0        0      1    80               68   568        1
569       43632      0        0      1    83               68   569        1
570       43973      1        0      0    52                0   570        1
571       43997      0        0      0    83                0   571        1
572       43997      0        0      0    80                0   572        1
573       43998      0        0      0    76                0   573        1
574       43999      0        0      1    83               68   574        1
575       43999      0        0      1    92               68   575        1
576       43999      1        0      1    64               40   576        1
577       43999      1        0      1    68               40   577        1
578       44236      0        0      0    92                0   578        1
579       44249      0        0      1    90               68   579        1
580       44473      0        0      0    83                0   580        1
581       44473      1        0      0    64                0   581        1
582       44473      1        0      0    68                0   582        1
583       44486      0        0      0    90                0   583        1
