timestamp,track,channel,event,note,midi_value
108779,1,0,0,85,0
108780,1,0,1,85,59
108787,1,0,0,85,64
108787,2,0,0,49,64
108814,1,0,1,87,59
108814,2,0,1,56,63
109059,1,0,0,87,64
109060,2,0,0,56,64
109087,1,0,1,85,59
109087,2,0,1,49,63
109332,1,0,0,85,64
109332,2,0,0,49,64
109359,1,0,1,94,59
109359,1,0,1,82,59
109360,2,0,1,54,63
109605,1,0,0,82,64
109605,1,0,0,94,64
109605,2,0,0,54,64
109632,1,0,1,92,59
109632,1,0,1,80,80
109632,2,0,1,49,63
109878,1,0,0,80,64
109878,1,0,0,92,64
109878,2,0,0,49,64
109905,2,0,1,56,63
110151,2,0,0,56,64
110178,1,0,1,73,67
110178,2,0,1,49,63
110300,1,0,0,73,64
110314,1,0,1,75,67
110423,2,0,0,49,64
110437,1,0,0,75,64
110450,1,0,1,77,67
110450,1,0,1,68,67
110451,2,0,1,37,63
110696,1,0,0,68,64
110696,1,0,0,77,64
110696,2,0,0,37,64
110723,1,0,1,75,67
110723,2,0,1,44,63
110969,1,0,0,75,64
110969,2,0,0,44,64
110996,1,0,1,73,67
110996,2,0,1,49,63
111241,1,0,0,73,64
111241,2,0,0,49,64
111269,1,0,1,80,67
111269,1,0,1,72,67
111269,2,0,1,41,56
111514,2,0,0,41,64
111541,2,0,1,49,63
111787,1,0,0,72,64
111787,1,0,0,80,64
111787,2,0,0,49,64
111814,1,0,1,73,67
111814,2,0,1,53,63
